time,wx,wy,wz
12.254251956939697,-0.68,-1.37,-0.42
12.263308048248291,-0.68,-1.23,-0.37
12.271027088165283,-0.63,-1.0,-0.28
12.28082799911499,-0.6,-0.76,-0.17
12.290716171264648,-0.66,-0.65,-0.07
12.300802230834961,-0.79,-0.65,0.01
12.31125020980835,-0.94,-0.71,0.08
12.32062292098999,-1.04,-0.76,0.1
12.330668926239014,-1.06,-0.75,0.07
12.340539932250977,-0.95,-0.66,0.02
12.350780963897705,-0.72,-0.63,-0.03
12.360336065292358,-0.45,-0.66,-0.07
12.370033264160156,-0.16,-0.73,-0.06
12.379821062088013,0.07,-0.81,0.0
12.389851093292236,0.16,-0.77,0.08
12.399960994720459,0.13,-0.68,0.15
12.410048007965088,0.05,-0.68,0.18
12.424009084701538,-0.03,-0.75,0.23
12.430799007415771,-0.12,-0.72,0.28
12.447594165802002,-0.16,-0.55,0.39
12.454405069351196,-0.07,-0.42,0.56
12.46280813217163,0.14,-0.33,0.69
12.469318151473999,0.44,-0.23,0.75
12.479716062545776,0.79,-0.14,0.78
12.489312171936035,1.15,0.03,0.78
12.498980045318604,1.44,0.23,0.73
12.50914716720581,1.65,0.38,0.62
12.524140119552612,1.8,0.59,0.49
12.53070592880249,1.89,0.94,0.36
12.538594245910645,1.88,1.3,0.29
12.548962116241455,1.79,1.62,0.25
12.55875825881958,1.6,1.72,0.24
12.568424224853516,1.35,1.52,0.24
12.578351974487305,1.12,1.35,0.24
12.588484048843384,1.04,1.24,0.26
12.59830617904663,1.02,1.12,0.21
12.608212947845459,1.07,0.95,0.13
12.62283205986023,1.17,1.07,0.07
12.629616260528564,1.3,1.42,0.07
12.637859106063843,1.49,1.86,0.15
12.647999048233032,1.69,2.18,0.36
12.657966136932373,1.87,2.18,0.64
12.66797924041748,1.91,1.89,0.82
12.678000926971436,1.66,1.58,0.86
12.6876060962677,1.18,1.23,0.78
12.69773006439209,0.69,0.73,0.63
12.707705020904541,0.23,0.56,0.45
12.721977233886719,-0.11,0.57,0.37
12.72882604598999,-0.32,0.63,0.33
12.737075090408325,-0.4,0.76,0.33
12.747220039367676,-0.41,0.92,0.3
12.757349014282227,-0.39,1.1,0.22
12.766847133636475,-0.38,1.26,0.12
12.776732921600342,-0.36,1.35,0.02
12.786559104919434,-0.34,1.35,-0.07
12.7970609664917,-0.3,1.21,-0.13
12.806904077529907,-0.27,0.95,-0.17
12.820690155029297,-0.26,0.61,-0.23
12.82803726196289,-0.28,0.28,-0.31
12.836440086364746,-0.32,0.06,-0.38
